database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	MN063A	MN063B	MN063C	CS063A	CS063B	CS063C	AM063A	AM063B	AM063C	MN073A	MN073B	MN073C	CS073A	CS073B	CS073C	AM073A	AM073B	AM073C	MN083A	MN083B	MN083C	CS083A	CS083B	CS083C	AM083A	AM083B	AM083C
CHEBI:74793	C22H23O11	COc1cc(ccc1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	InChI=1S/C22H22O11/c1-30-15-4-9(2-3-12(15)25)21-16(7-11-13(26)5-10(24)6-14(11)31-21)32-22-20(29)19(28)18(27)17(8-23)33-22/h2-7,17-20,22-23,27-29H,8H2,1H3,(H2-,24,25,26)/p+1/t17-,18-,19+,20-,22-/m1/s1	peonidin-3-O-glucoside	461.921226				17.1697835	NEWT:29760	Vitis vinifera (Grape)										3,190,004	6,924,491	13,191,386	13,559,315	18,112,780	7,364,691	8,308,280	10,926,290	8,864,642	6,631,124	8,686,958	9,111,160	7,209,706	4,158,715	5,320,107	2,335,838	2,525,627	9,022,533	16,666,018	16,336,086	16,057,804	14,213,821	14,488,026	11,926,936	9,629,805	12,354,755	14,713,132
CHEBI:31985	C22H23O12	COc1cc(cc(O)c1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	InChI=1S/C22H22O12/c1-31-14-3-8(2-12(26)17(14)27)21-15(6-10-11(25)4-9(24)5-13(10)32-21)33-22-20(30)19(29)18(28)16(7-23)34-22/h2-6,16,18-20,22-23,28-30H,7H2,1H3,(H3-,24,25,26,27)/p+1/t16-,18-,19+,20-,22-/m1/s1	petunidin-3-O-glucoside	477.4298643				15.64976839	NEWT:29760	Vitis vinifera (Grape)										7,033,661	6,158,590	7,712,645	6,605,074	7,870,685	6,210,017	4,376,801	4,052,127	4,668,073	11,477,627	8,098,281	8,994,592	6,166,880	4,699,989	5,117,599	5,123,532	4,688,271	9,073,886	10,691,195	11,725,708	14,205,661	6,337,618	6,539,522	7,631,496	8,903,152	9,100,828	7,869,378
CHEBI:16778|CHEBI:28327	C21H20O10|C21H22O10	C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O	InChI=1S/C21H20O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-7,16,18-24,26-28H,8H2/t16-,18-,19+,20-,21-/m1/s1|InChI=1S/C21H22O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-6,14,16,18-24,26-28H,7-8H2/t14-,16+,18+,19-,20+,21+/m0/s1	apigenin glucoside (less likely)|naringenin glucoside (more likely)	433.6958522				26.61017145	NEWT:29760	Vitis vinifera (Grape)										124,540	77,437	81,540	132,959	33,463	32,453	113,875	104,256	90,794	9,608	26,074	26,742	29,121	17,716	50,008	31,484	38,570	50,400	285,313	128,961	115,962	135,975	122,313	69,978	27,143	154,939	99,956
unknown|CHEBI:75721|CHEBI:75723|CHEBI:75724|CHEBI:75726|CHEBI:75727|CHEBI:18128	C21H18O12	C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O)O	InChI=1S/C21H18O12/c22-9-2-1-7(3-10(9)23)13-6-12(25)15-11(24)4-8(5-14(15)32-13)31-21-18(28)16(26)17(27)19(33-21)20(29)30/h1-6,16-19,21-24,26-28H,(H,29,30)/t16-,17-,18+,19-,21+/m0/s1	1) quercetin derivative;  2) kaempferol or luteolin glucuronide	461.2995265				23.32296272	NEWT:29760	Vitis vinifera (Grape)										84,047	121,274	188,144	209,010	105,688	233,366	170,883	188,951	174,157	329,542	651,041	66,103	266,966	224,015	592,158	314,624	234,770	418,918	456,549	448,939	340,359	356,295	386,142	289,797	642,105	135,895	167,992
CHEBI:38200	C21H22O11	C[C@@H]1O[C@@H](O[C@@H]2[C@H](Oc3cc(O)cc(O)c3C2=O)c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O	InChI=1S/C21H22O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-26,28-29H,1H3/t7-,15-,17+,18+,19+,20-,21-/m0/s1	dihydroquercetin-O-deoxyhexoside (astilbin)	450.1498538				19.75582401	NEWT:29760	Vitis vinifera (Grape)										1,520,695	2,972,757	3,538,479	4,018,307	3,340,439	3,407,445	4,492,897	3,926,752	4,085,950	1,097,020	1,577,191	1,914,080	1,433,244	1,105,588	1,096,692	2,020,229	1,284,660	6,383,048	7,926,722	6,850,822	7,666,445	6,357,329	6,394,532	3,873,739	6,428,777	7,593,623	4,784,417
unknown				dihydroquercetin-O-deoxyhexoside, derivative	512.091171				19.68146403	NEWT:29760	Vitis vinifera (Grape)										305,638	203,287	181,240	316,041	276,552	216,894	162,186	135,039	141,282	180,676	135,776	130,567	220,371	161,048	172,172	165,425	196,217	290,357	361,231	319,410	339,030	365,994	380,155	326,030	282,607	302,148	253,534
CHEBI:75739|CHEBI:75740|CHEBI:75741|CHEBI:75744|CHEBI:75746|CHEBI:75748|CHEBI:75749	C20H20O11			dihydroquercetin-O-pentoside	435.5707749				15.95041975	NEWT:29760	Vitis vinifera (Grape)										61,680	187,510	204,309	68,559	190,349	138,920	200,521	155,433	191,721	46,517	455,937	375,087	135,281	521,660	438,843	705,657	743,895	632,816	755,965	593,565	473,377	871,056	839,153	415,225	617,589	1,151,960	474,412
CHEBI:75750|CHEBI:75751|CHEBI:75752|CHEBI:75758|CHEBI:75773|CHEBI:75777|CHEBI:75783	C22H22O12			dihydroxy-dimethoxyflavanone-O-hexoside (isorhamnetin-O-hexoside)	477.5468208				24.49974772	NEWT:29760	Vitis vinifera (Grape)										1,567,549	855,886	958,423	1,884,163	1,023,983	781,368	1,072,908	652,844	679,224	1,007,752	804,474	802,817	807,931	319,936	288,811	1,213,541	1,144,557	1,494,196	1,362,482	1,077,215	2,004,252	908,044	911,249	1,235,815	1,548,033	1,316,940	1,017,609
unknown	C21H22O12			hexahydroxyflavanone-C-deoxyhexoside	465.5452221				14.22904671	NEWT:29760	Vitis vinifera (Grape)										2,256,473	1,058,100	1,989,003	2,502,100	3,929,593	1,552,753	1,502,972	1,399,673	1,151,809	1,458,992	1,204,610	1,378,580	1,507,961	352,650	381,210	297,769	340,797	1,877,302	2,290,295	2,903,816	3,256,749	1,597,817	1,606,872	1,484,338	1,880,059	2,411,135	1,333,158
unknown	C21H22O13			hexahydroxyflavanone-C-hexoside	481.3031906				12.50316878	NEWT:29760	Vitis vinifera (Grape)										1,002,347	568,207	515,786	586,687	664,032	441,671	356,181	295,732	388,091	848,506	689,942	677,921	433,493	233,760	234,207	279,663	286,115	635,631	509,482	881,728	1,172,032	290,216	320,256	646,379	607,098	536,496	680,613
